Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
Address pending validation,,,3945,,2418,,04/21/2021
Andover,No,3236,1661,51.33,1102,34.05,04/21/2021
Ansonia,Yes,18654,7033,37.7,4161,22.31,04/21/2021
Ashford,No,4255,2019,47.45,1375,32.31,04/21/2021
Avon,No,18276,11659,63.79,8003,43.79,04/21/2021
Barkhamsted,No,3606,1889,52.38,1373,38.08,04/21/2021
Beacon Falls,No,6222,3049,49,2030,32.63,04/21/2021
Berlin,No,20436,11345,55.51,8204,40.14,04/21/2021
Bethany,No,5548,3148,56.74,2150,38.75,04/21/2021
Bethel,No,19800,9138,46.15,5416,27.35,04/21/2021
Bethlehem,No,3402,1657,48.71,1130,33.22,04/21/2021
Bloomfield,No,21211,11439,53.93,8438,39.78,04/21/2021
Bolton,No,4884,2641,54.07,1788,36.61,04/21/2021
Bozrah,No,2726,1238,45.41,951,34.89,04/21/2021
Branford,No,27900,16703,59.87,11963,42.88,04/21/2021
Bridgeport,Yes,144399,44457,30.79,26982,18.69,04/21/2021
Bridgewater,No,1635,1032,63.12,718,43.91,04/21/2021
Bristol,Yes,59947,27141,45.27,18151,30.28,04/21/2021
Brookfield,No,16973,9063,53.4,5846,34.44,04/21/2021
Brooklyn,No,8272,3414,41.27,2519,30.45,04/21/2021
Burlington,No,9704,5365,55.29,3631,37.42,04/21/2021
Canaan,No,1053,764,72.55,468,44.44,04/21/2021
Canterbury,No,5079,2158,42.49,1564,30.79,04/21/2021
Canton,No,10254,5760,56.17,4029,39.29,04/21/2021
Chaplin,No,2239,954,42.61,651,29.08,04/21/2021
Cheshire,No,28937,17276,59.7,12349,42.68,04/21/2021
Chester,No,4213,2410,57.2,1740,41.3,04/21/2021
Clinton,No,12925,7472,57.81,5041,39,04/21/2021
Colchester,No,15809,8083,51.13,5591,35.37,04/21/2021
Colebrook,No,1400,710,50.71,493,35.21,04/21/2021
Columbia,No,5379,2891,53.75,2074,38.56,04/21/2021
Cornwall,No,1362,871,63.95,562,41.26,04/21/2021
Coventry,No,12407,6256,50.42,4164,33.56,04/21/2021
Cromwell,No,13839,8259,59.68,5622,40.62,04/21/2021
Danbury,Yes,84694,32822,38.75,18820,22.22,04/21/2021
Darien,No,21728,12118,55.77,6374,29.34,04/21/2021
Deep River,No,4443,2604,58.61,1765,39.73,04/21/2021
Derby,Yes,12339,5193,42.09,3201,25.94,04/21/2021
Durham,No,7165,4061,56.68,2892,40.36,04/21/2021
East Granby,No,5140,2770,53.89,1819,35.39,04/21/2021
East Haddam,No,8997,4331,48.14,2768,30.77,04/21/2021
East Hampton,No,12800,6492,50.72,4470,34.92,04/21/2021
East Hartford,Yes,49872,19305,38.71,12111,24.28,04/21/2021
East Haven,Yes,28569,12381,43.34,8464,29.63,04/21/2021
East Lyme,No,18462,11108,60.17,8282,44.86,04/21/2021
East Windsor,No,11668,5078,43.52,3297,28.26,04/21/2021
Eastford,No,1790,785,43.85,572,31.96,04/21/2021
Easton,No,7521,4159,55.3,2706,35.98,04/21/2021
Ellington,No,16467,8434,51.22,5332,32.38,04/21/2021
Enfield,Yes,43659,18077,41.4,11779,26.98,04/21/2021
Essex,No,6668,4456,66.83,3331,49.96,04/21/2021
Fairfield,No,62045,33909,54.65,20143,32.47,04/21/2021
Farmington,No,25497,16052,62.96,11146,43.71,04/21/2021
Franklin,No,1920,953,49.64,693,36.09,04/21/2021
Glastonbury,No,34482,21360,61.95,14037,40.71,04/21/2021
Goshen,No,2863,1578,55.12,1132,39.54,04/21/2021
Granby,No,11507,6228,54.12,4248,36.92,04/21/2021
Greenwich,No,62840,32510,51.73,18568,29.55,04/21/2021
Griswold,Yes,11534,4400,38.15,3156,27.36,04/21/2021
Groton,Yes,38436,15938,41.47,10861,28.26,04/21/2021
Guilford,No,22133,14084,63.63,9964,45.02,04/21/2021
Haddam,No,8193,4769,58.21,3485,42.54,04/21/2021
Hamden,No,60556,29154,48.14,19613,32.39,04/21/2021
Hampton,No,1842,892,48.43,647,35.12,04/21/2021
Hartford,Yes,122105,34792,28.49,21550,17.65,04/21/2021
Hartland,No,2120,942,44.43,681,32.12,04/21/2021
Harwinton,No,5420,2821,52.05,2020,37.27,04/21/2021
Hebron,No,9504,5257,55.31,3614,38.03,04/21/2021
Kent,No,2777,1894,68.2,1362,49.05,04/21/2021
Killingly,Yes,17336,6470,37.32,4755,27.43,04/21/2021
Killingworth,No,6364,3686,57.92,2655,41.72,04/21/2021
Lebanon,No,7144,3589,50.24,2550,35.69,04/21/2021
Ledyard,No,14621,6964,47.63,4835,33.07,04/21/2021
Lisbon,No,4220,1877,44.48,1390,32.94,04/21/2021
Litchfield,No,8094,4336,53.57,2992,36.97,04/21/2021
Lyme,No,2316,1647,71.11,1214,52.42,04/21/2021
Madison,No,18030,11631,64.51,8073,44.78,04/21/2021
Manchester,Yes,57584,25540,44.35,15672,27.22,04/21/2021
Mansfield,No,25487,7161,28.1,4438,17.41,04/21/2021
Marlborough,No,6335,3450,54.46,2375,37.49,04/21/2021
Meriden,Yes,59395,23010,38.74,15033,25.31,04/21/2021
Middlebury,No,7798,4445,57,3121,40.02,04/21/2021
Middlefield,No,4374,2355,53.84,1654,37.81,04/21/2021
Middletown,Yes,46258,23430,50.65,15180,32.82,04/21/2021
Milford,Yes,54747,29539,53.96,19485,35.59,04/21/2021
Monroe,No,19434,10282,52.91,6385,32.85,04/21/2021
Montville,Yes,18508,7936,42.88,5690,30.74,04/21/2021
Morris,No,2254,1044,46.32,702,31.14,04/21/2021
Naugatuck,No,31108,12743,40.96,7934,25.5,04/21/2021
New Britain,Yes,72495,22898,31.59,14825,20.45,04/21/2021
New Canaan,No,20233,11905,58.84,6763,33.43,04/21/2021
New Fairfield,No,13878,6688,48.19,4277,30.82,04/21/2021
New Hartford,No,6656,3486,52.37,2514,37.77,04/21/2021
New Haven,Yes,130250,48472,37.21,28185,21.64,04/21/2021
New London,Yes,26858,9531,35.49,5968,22.22,04/21/2021
New Milford,No,26805,14018,52.3,8990,33.54,04/21/2021
Newington,No,30014,16945,56.46,11671,38.89,04/21/2021
Newtown,No,27891,15442,55.37,9844,35.29,04/21/2021
Norfolk,No,1630,811,49.75,562,34.48,04/21/2021
North Branford,No,14146,8036,56.81,5907,41.76,04/21/2021
North Canaan,No,3251,1060,32.61,634,19.5,04/21/2021
North Haven,No,23683,14590,61.61,10337,43.65,04/21/2021
North Stonington,No,5196,2341,45.05,1648,31.72,04/21/2021
Norwalk,Yes,88816,41776,47.04,23587,26.56,04/21/2021
Norwich,Yes,38768,14669,37.84,9825,25.34,04/21/2021
Old Lyme,No,7306,4609,63.09,3349,45.84,04/21/2021
Old Saybrook,No,10061,7021,69.78,5003,49.73,04/21/2021
Orange,Yes,13926,8236,59.14,5784,41.53,04/21/2021
Oxford,No,13255,6830,51.53,4721,35.62,04/21/2021
Plainfield,Yes,15125,5560,36.76,3940,26.05,04/21/2021
Plainville,No,17534,8351,47.63,5619,32.05,04/21/2021
Plymouth,No,11598,4697,40.5,2932,25.28,04/21/2021
Pomfret,No,4203,2151,51.18,1480,35.21,04/21/2021
Portland,No,9267,5057,54.57,3570,38.52,04/21/2021
Preston,No,4625,2256,48.78,1648,35.63,04/21/2021
Prospect,No,9702,5006,51.6,3587,36.97,04/21/2021
Putnam,No,9389,3555,37.86,2501,26.64,04/21/2021
Redding,No,9116,4850,53.2,2907,31.89,04/21/2021
Resident out of state,,,46192,,27676,,04/21/2021
Ridgefield,No,24959,14372,57.58,8668,34.73,04/21/2021
Rocky Hill,No,20115,11414,56.74,7529,37.43,04/21/2021
Roxbury,No,2152,1381,64.17,912,42.38,04/21/2021
Salem,No,4083,2010,49.23,1418,34.73,04/21/2021
Salisbury,No,3600,2373,65.92,1656,46,04/21/2021
Scotland,No,1672,710,42.46,518,30.98,04/21/2021
Seymour,No,16437,7568,46.04,4836,29.42,04/21/2021
Sharon,No,2689,1510,56.15,947,35.22,04/21/2021
Shelton,No,41129,21374,51.97,14068,34.2,04/21/2021
Sherman,No,3630,1809,49.83,1193,32.87,04/21/2021
Simsbury,No,25395,15078,59.37,10273,40.45,04/21/2021
Somers,No,10784,5020,46.55,3625,33.61,04/21/2021
South Windsor,No,26162,15161,57.95,9682,37.01,04/21/2021
Southbury,No,19571,11742,60,8445,43.15,04/21/2021
Southington,No,43834,23816,54.33,16799,38.32,04/21/2021
Sprague,No,2859,1035,36.2,753,26.34,04/21/2021
Stafford,No,11893,4824,40.56,3148,26.47,04/21/2021
Stamford,Yes,129638,61049,47.09,32729,25.25,04/21/2021
Sterling,No,3782,1133,29.96,792,20.94,04/21/2021
Stonington,No,18559,10638,57.32,7751,41.76,04/21/2021
Stratford,No,51849,22768,43.91,14536,28.04,04/21/2021
Suffield,No,15814,8126,51.38,5560,35.16,04/21/2021
Thomaston,No,7535,3475,46.12,2152,28.56,04/21/2021
Thompson,No,9379,3123,33.3,2264,24.14,04/21/2021
Tolland,No,14618,8077,55.25,5251,35.92,04/21/2021
Torrington,Yes,34044,14859,43.65,10163,29.85,04/21/2021
